지점,지점명,일시,1.5M 평균 습도(%),10CM 일 토양수분(%),1.5M 평균 기온(°C),평균 지면온도(°C)
119,수원(농),2021-04-17,70,1,9,11.7
119,수원(농),2021-04-18,70,1,9.5,12.9
119,수원(농),2021-04-19,69,1,11.5,14.8
119,수원(농),2021-04-20,63,1,13.3,16.7
119,수원(농),2021-04-21,50,1,17.7,18.3
119,수원(농),2021-04-22,41,1,20.4,19
119,수원(농),2021-04-23,37,0,20,17.3
119,수원(농),2021-04-24,49,0,17.4,16.2
119,수원(농),2021-04-25,62,0,17.1,19.4
119,수원(농),2021-04-26,55,0,15.9,19
119,수원(농),2021-04-27,67,0,15.1,16.1
119,수원(농),2021-04-28,77,1,14.6,17.7
119,수원(농),2021-04-29,55,0,15.5,18.8
119,수원(농),2021-04-30,90,3,11.1,13.3
119,수원(농),2021-05-01,85,3,10.6,13.2
119,수원(농),2021-05-02,77,3,11.7,15.4
119,수원(농),2021-05-03,70,2,13.1,16.8
119,수원(농),2021-05-04,85,2,14.9,14.1
119,수원(농),2021-05-05,71,3,14,16.6
119,수원(농),2021-05-06,54,2,15.3,15.8
119,수원(농),2021-05-07,68,2,13.3,13.5
119,수원(농),2021-05-08,73,2,13.8,15
119,수원(농),2021-05-09,63,2,14.7,16.7
119,수원(농),2021-05-10,91,6,11.8,11.7
119,수원(농),2021-05-11,54,3,18.1,16.6
119,수원(농),2021-05-12,44,2,20.5,19.1
119,수원(농),2021-05-13,67,1,21.2,22.2
119,수원(농),2021-05-14,71,1,21.7,23
119,수원(농),2021-05-15,90,1,20.9,21.1
119,수원(농),2021-05-16,100,4,19.4,19.7
119,수원(농),2021-05-17,99,4,15.2,17.3
119,수원(농),2021-05-18,84,3,17,19.1
119,수원(농),2021-05-19,66,2,18.9,22.1
119,수원(농),2021-05-20,74,2,18.1,16.9
119,수원(농),2021-05-21,98,4,15.1,17.2
119,수원(농),2021-05-22,79,3,17.6,21.1
119,수원(농),2021-05-23,74,2,18.7,19.7
119,수원(농),2021-05-24,77,2,17.8,21.1
119,수원(농),2021-05-25,83,3,14.8,16.7
119,수원(농),2021-05-26,67,2,17.7,17.6
119,수원(농),2021-05-27,90,4,15.3,15.7
119,수원(농),2021-05-28,92,7,14.8,15.8
119,수원(농),2021-05-29,78,2,16.2,18.9
119,수원(농),2021-05-30,78,2,18,21.6
119,수원(농),2021-05-31,77,3,20.4,21.5
119,수원(농),2021-06-01,74,2,21.5,22.5
119,수원(농),2021-06-02,68,2,23.1,26
119,수원(농),2021-06-03,92,1,18.8,19.6
119,수원(농),2021-06-04,77,3,18.1,20.4
119,수원(농),2021-06-05,77,2,20.1,20.5
119,수원(농),2021-06-06,80,1,22.3,24.6
119,수원(농),2021-06-07,72,1,21.3,21.5
119,수원(농),2021-06-08,75,1,23.1,26.2
119,수원(농),2021-06-09,69,1,25.7,29.1
119,수원(농),2021-06-10,73,1,24.9,27.7
119,수원(농),2021-06-11,89,2,21.5,22.1
119,수원(농),2021-06-12,83,2,22.7,25.4
119,수원(농),2021-06-13,88,1,22.1,26
119,수원(농),2021-06-14,82,1,22.2,25.7
119,수원(농),2021-06-15,78,1,22.8,22.3
119,수원(농),2021-06-16,60,1,24.8,25.5
119,수원(농),2021-06-17,77,1,21.7,21.9
119,수원(농),2021-06-18,97,2,19.8,20.7
119,수원(농),2021-06-19,81,2,21.9,25.1
119,수원(농),2021-06-20,78,1,22.8,27
119,수원(농),2021-06-21,74,1,23,29.3
119,수원(농),2021-06-22,68,0,23.4,26.1
119,수원(농),2021-06-23,76,0,22.2,25.6
119,수원(농),2021-06-24,79,0,22.6,25.9
119,수원(농),2021-06-25,78,0,23.3,29.6
119,수원(농),2021-06-26,81,1,23,24.6
119,수원(농),2021-06-27,73,1,25.1,27.8
119,수원(농),2021-06-28,79,1,23.7,27.2
119,수원(농),2021-06-29,84,0,23.5,24.9
119,수원(농),2021-06-30,83,1,24,26
119,수원(농),2021-07-01,76,0,26.2,28.1
119,수원(농),2021-07-02,65,0,27.4,29.4
119,수원(농),2021-07-03,81,0,23.4,24
119,수원(농),2021-07-04,97,3,22,22.2
119,수원(농),2021-07-05,84,2,23.8,24.7
119,수원(농),2021-07-06,83,2,25.2,25.5
119,수원(농),2021-07-07,90,3,25.7,27.3
119,수원(농),2021-07-08,89,3,25.3,27.3
119,수원(농),2021-07-09,85,2,25.1,27.4
119,수원(농),2021-07-10,83,2,26.1,27.1
119,수원(농),2021-07-11,89,2,26.1,26.5
119,수원(농),2021-07-12,83,1,27.5,28.4
119,수원(농),2021-07-13,79,1,28.8,28.8
119,수원(농),2021-07-14,77,1,29.3,30.5
119,수원(농),2021-07-15,78,0,28.7,32.2
119,수원(농),2021-07-16,77,0,28.2,31.6
119,수원(농),2021-07-17,74,2,28.1,29.7
119,수원(농),2021-07-18,71,1,28.5,29.2
119,수원(농),2021-07-19,85,2,26.8,28.4
119,수원(농),2021-07-20,79,2,28.6,29
119,수원(농),2021-07-21,68,2,30.1,30.4
119,수원(농),2021-07-22,63,1,30.4,31.2
119,수원(농),2021-07-23,66,1,30.4,32.3
119,수원(농),2021-07-24,67,1,30.4,32.6
119,수원(농),2021-07-25,62,1,30.9,33.3
119,수원(농),2021-07-26,62,0,30.3,33.7
119,수원(농),2021-07-27,66,0,30.3,32.2
119,수원(농),2021-07-28,78,0,29.3,32.2
119,수원(농),2021-07-29,80,2,28.4,29.1
119,수원(농),2021-07-30,71,1,29.7,32.5
119,수원(농),2021-07-31,80,1,29,32.6
119,수원(농),2021-08-01,91,1,26.8,28.1
119,수원(농),2021-08-02,91,4,25.9,26.9
119,수원(농),2021-08-03,89,4,26.8,27.2
119,수원(농),2021-08-04,78,3,28.7,30.2
119,수원(농),2021-08-05,74,2,29.2,31.1
119,수원(농),2021-08-06,74,1,28.3,31.3
119,수원(농),2021-08-07,77,1,27.3,31
119,수원(농),2021-08-08,79,1,27.1,29.1
119,수원(농),2021-08-09,66,1,28.3,30.9
119,수원(농),2021-08-10,68,1,27.7,31.9
119,수원(농),2021-08-11,84,1,26.2,27.7
119,수원(농),2021-08-12,75,1,27.5,28.3
119,수원(농),2021-08-14,66,1,26.7,29.1
119,수원(농),2021-08-15,66,1,26.5,28.9
119,수원(농),2021-08-16,63,1,27.4,30.7
119,수원(농),2021-08-17,69,1,25.8,30
119,수원(농),2021-08-18,81,6,23.6,24.4
119,수원(농),2021-08-19,62,3,25.9,25.2
119,수원(농),2021-08-20,77,2,25.9,26.9
119,수원(농),2021-08-21,91,6,24,25.1
119,수원(농),2021-08-22,86,4,24.5,25
119,수원(농),2021-08-23,95,4,22.3,23
119,수원(농),2021-08-24,95,7,24.1,23.6
119,수원(농),2021-08-25,95,6,24.3,24.9
119,수원(농),2021-08-26,91,5,25.4,25.6
119,수원(농),2021-08-27,95,6,22.3,23.6
119,수원(농),2021-08-28,88,5,23,24.3
119,수원(농),2021-08-29,91,7,22.5,24.7
119,수원(농),2021-08-30,88,5,23.9,24.9
119,수원(농),2021-08-31,98,5,20.8,22.1
119,수원(농),2021-09-01,91,8,21.3,22.1
119,수원(농),2021-09-02,76,5,23.4,23.6
119,수원(농),2021-09-03,64,5,24.7,25.3
119,수원(농),2021-09-04,60,4,23.7,23.8
119,수원(농),2021-09-05,63,3,23.2,22.4
119,수원(농),2021-09-06,71,3,22.1,21.6
119,수원(농),2021-09-07,99,8,20.5,21.3
119,수원(농),2021-09-08,87,6,22,24
119,수원(농),2021-09-09,84,5,22.9,25
119,수원(농),2021-09-10,86,4,23.5,24.8
119,수원(농),2021-09-11,82,4,23.9,25.8
119,수원(농),2021-09-12,78,3,23.8,25.2
119,수원(농),2021-09-13,70,3,25,24.9
119,수원(농),2021-09-14,65,2,23.9,23.7
119,수원(농),2021-09-15,58,2,24.2,23.6
119,수원(농),2021-09-16,62,1,23,23.3
119,수원(농),2021-09-17,63,1,23.7,24.6
119,수원(농),2021-09-18,71,1,23.1,24.5
119,수원(농),2021-09-19,75,1,23.6,24.1
119,수원(농),2021-09-20,67,1,23.8,24.6
119,수원(농),2021-09-21,88,5,22.6,23.3
119,수원(농),2021-09-23,73,4,20.1,20
119,수원(농),2021-09-24,69,4,22,22
119,수원(농),2021-09-25,74,3,21.3,20.2
119,수원(농),2021-09-26,65,3,22.8,22.9
119,수원(농),2021-09-27,66,3,21.8,20.7
119,수원(농),2021-09-28,79,3,21.5,21.6
119,수원(농),2021-09-29,94,6,21,21.5
119,수원(농),2021-09-30,84,5,20.4,21.9
119,수원(농),2021-10-01,82,4,21.1,21.9
119,수원(농),2021-10-02,81,5,20.5,21.7
119,수원(농),2021-10-03,75,4,22,21.8
119,수원(농),2021-10-04,77,4,23.3,21.3
119,수원(농),2021-10-05,77,4,24.3,24
119,수원(농),2021-10-06,86,4,21.2,21.7
119,수원(농),2021-10-07,85,6,20.4,20.8
119,수원(농),2021-10-08,90,5,19.9,20.5
119,수원(농),2021-10-09,77,5,22.8,22
119,수원(농),2021-10-10,86,4,20.8,21.3
119,수원(농),2021-10-11,67,5,16.7,18.5
119,수원(농),2021-10-12,67,5,17.8,16.7
119,수원(농),2021-10-13,66,4,19.5,19.2
119,수원(농),2021-10-14,80,4,18.7,19.7
119,수원(농),2021-10-15,79,4,19.1,19.7
119,수원(농),2021-10-16,41,4,11.6,12.2
119,수원(농),2021-10-17,39,4,6,9.4
119,수원(농),2021-10-18,60,4,9.7,11.6
119,수원(농),2021-10-19,79,6,11.3,12.8
119,수원(농),2021-10-20,68,5,9.2,11.3
119,수원(농),2021-10-21,70,5,9.6,11.1
119,수원(농),2021-10-22,65,5,10.1,10.7
119,수원(농),2021-10-23,67,4,10.6,11
119,수원(농),2021-10-24,72,4,10.7,11.3
119,수원(농),2021-10-25,75,4,11,11.5
119,수원(농),2021-10-26,78,4,12.1,12
119,수원(농),2021-10-27,68,4,13,12.6
119,수원(농),2021-10-28,64,3,11.6,11.6
119,수원(농),2021-10-29,60,3,14.2,13
119,수원(농),2021-10-30,65,3,14.2,13.4
129,서산(농),2021-03-01,96,13,4.9,6.2
129,서산(농),2021-03-02,78,14,2.3,5.9
129,서산(농),2021-03-03,73,11,2.7,3.4
129,서산(농),2021-03-04,70,10,6.4,6.2
129,서산(농),2021-03-05,73,10,7.9,8.6
129,서산(농),2021-03-06,76,10,7.2,8.1
129,서산(농),2021-03-07,71,9,5.6,7.7
129,서산(농),2021-03-08,82,9,4.2,6.5
129,서산(농),2021-03-09,71,9,4.5,6.7
129,서산(농),2021-03-10,68,9,6.5,9.3
129,서산(농),2021-03-11,69,8,7.9,9.4
129,서산(농),2021-03-12,76,8,8.3,8.4
129,서산(농),2021-03-13,70,8,8.1,10.5
129,서산(농),2021-03-14,84,8,5.8,8.7
129,서산(농),2021-03-15,76,8,8.6,10.9
129,서산(농),2021-03-16,57,8,6.7,11.7
129,서산(농),2021-03-17,57,7,5.9,10.3
129,서산(농),2021-03-18,57,7,8.5,12.1
129,서산(농),2021-03-19,57,7,11.7,14.5
129,서산(농),2021-03-20,81,7,7.5,8.8
129,서산(농),2021-03-21,67,8,5.6,8.2
129,서산(농),2021-03-22,66,7,5.8,10
129,서산(농),2021-03-23,76,7,8.3,10.8
129,서산(농),2021-03-24,69,7,9.5,11.8
129,서산(농),2021-03-25,78,6,10.2,14.8
129,서산(농),2021-03-26,71,6,10.4,13.5
129,서산(농),2021-03-27,80,6,11.7,10.8
129,서산(농),2021-03-28,95,19,8.3,9.9
129,서산(농),2021-03-29,79,13,9.7,12.7
129,서산(농),2021-03-30,52,12,10.1,13.6
129,서산(농),2021-03-31,43,11,12.2,14.7
129,서산(농),2021-04-01,32,10,16.2,13.8
129,서산(농),2021-04-02,37,9,16.8,15.4
129,서산(농),2021-04-03,89,12,14.7,14.5
129,서산(농),2021-04-04,77,19,11.3,13.7
129,서산(농),2021-04-05,54,14,11,13.3
129,서산(농),2021-04-06,61,13,11.2,13.2
129,서산(농),2021-04-07,54,12,12.4,14.6
129,서산(농),2021-04-08,48,11,10.5,13.8
129,서산(농),2021-04-09,48,10,11.4,13.1
129,서산(농),2021-04-10,66,10,10.7,14.1
129,서산(농),2021-04-11,60,9,12.5,15.3
129,서산(농),2021-04-12,81,8,12.6,12.5
129,서산(농),2021-04-13,76,15,9.1,13.7
129,서산(농),2021-04-14,60,13,7.9,12.6
129,서산(농),2021-04-15,74,12,9.5,13.5
129,서산(농),2021-04-16,68,11,10.4,11.7
129,서산(농),2021-04-17,61,11,8.8,11.7
129,서산(농),2021-04-18,62,10,9.6,13.5
129,서산(농),2021-04-19,72,10,10.6,14.4
129,서산(농),2021-04-20,57,9,13.2,16.6
129,서산(농),2021-04-21,45,8,17,18.4
129,서산(농),2021-04-22,35,7,19,18.8
129,서산(농),2021-04-23,29,6,19.9,17.8
129,서산(농),2021-04-24,44,6,16.9,18.4
129,서산(농),2021-04-25,60,6,16.6,20.1
129,서산(농),2021-04-26,73,5,14.2,18.5
129,서산(농),2021-04-27,67,5,13.9,17.3
129,서산(농),2021-04-28,82,6,13.6,17.5
129,서산(농),2021-04-29,71,5,14.2,18.7
129,서산(농),2021-04-30,87,18,10,11.6
129,서산(농),2021-05-01,76,15,10.3,13.3
129,서산(농),2021-05-02,70,14,12,16.6
129,서산(농),2021-05-03,70,12,12.3,17.1
129,서산(농),2021-05-04,86,14,14.9,15.3
129,서산(농),2021-05-05,67,17,13.3,17.3
129,서산(농),2021-05-06,49,14,14.9,16.2
129,서산(농),2021-05-07,58,13,14.4,15.3
129,서산(농),2021-05-08,68,13,13.5,16.4
129,서산(농),2021-05-09,58,12,14.5,19.3
129,서산(농),2021-05-10,84,15,12.3,13.1
129,서산(농),2021-05-11,64,15,17.7,18.2
129,서산(농),2021-05-12,40,13,21.1,21.9
129,서산(농),2021-05-13,58,12,20.6,23.6
129,서산(농),2021-05-14,72,11,20.5,23.7
129,서산(농),2021-05-15,88,15,20.2,20.5
129,서산(농),2021-05-16,98,20,18.1,18.9
129,서산(농),2021-05-17,91,17,15,18.3
129,서산(농),2021-05-18,83,15,16.8,20.3
129,서산(농),2021-05-19,62,13,18.8,22.3
129,서산(농),2021-05-20,77,12,17,17.1
129,서산(농),2021-05-21,94,17,14.1,16.4
129,서산(농),2021-05-22,79,15,16.9,21.4
129,서산(농),2021-05-23,74,13,17.9,20.4
129,서산(농),2021-05-24,73,12,17.6,21.2
129,서산(농),2021-05-25,74,16,15.4,18.8
129,서산(농),2021-05-26,63,12,17.5,17.9
129,서산(농),2021-05-27,86,18,15.6,18.2
129,서산(농),2021-05-28,85,23,15,17.7
129,서산(농),2021-05-29,74,16,16.5,20.5
129,서산(농),2021-05-30,67,14,18.8,22.2
129,서산(농),2021-05-31,62,16,19.2,20.7
129,서산(농),2021-06-01,60,13,20.8,22.1
129,서산(농),2021-06-02,62,12,23,25
129,서산(농),2021-06-03,88,11,18.5,20.4
129,서산(농),2021-06-04,78,16,17.6,22.2
129,서산(농),2021-06-05,81,14,19.8,21.5
129,서산(농),2021-06-06,78,13,20.8,23.7
129,서산(농),2021-06-07,67,12,21,22.8
129,서산(농),2021-06-08,81,11,21.7,24.8
129,서산(농),2021-06-09,69,10,24.5,27.6
129,서산(농),2021-06-10,71,9,24.1,24.8
129,서산(농),2021-06-11,87,16,21.4,24.6
129,서산(농),2021-06-12,82,13,21.9,25.6
129,서산(농),2021-06-13,86,11,20.8,25.6
129,서산(농),2021-06-14,84,10,21.8,26.6
129,서산(농),2021-06-15,79,9,22.3,23
129,서산(농),2021-06-16,60,10,24.9,27.1
129,서산(농),2021-06-17,79,8,21.1,22.5
129,서산(농),2021-06-18,95,15,19.7,22
129,서산(농),2021-06-19,83,13,21.1,25.7
129,서산(농),2021-06-20,82,11,21.6,25.3
129,서산(농),2021-06-21,70,10,23.2,28.3
129,서산(농),2021-06-22,68,8,22.5,26.5
129,서산(농),2021-06-23,88,20,20.6,21.8
129,서산(농),2021-06-24,80,14,21.8,24.9
129,서산(농),2021-06-25,78,12,22.7,26.8
129,서산(농),2021-06-26,78,11,23.5,25.7
129,서산(농),2021-06-27,73,10,23.8,27.1
129,서산(농),2021-06-28,79,8,23.3,25.1
129,서산(농),2021-06-29,80,11,23.4,26.4
129,서산(농),2021-06-30,79,9,23.8,27
129,서산(농),2021-07-01,72,8,25.1,28.2
129,서산(농),2021-07-02,65,7,26.5,28.2
129,서산(농),2021-07-03,82,6,23.5,24.8
129,서산(농),2021-07-04,96,26,21.4,22.8
129,서산(농),2021-07-05,86,16,22.5,24.7
129,서산(농),2021-07-06,89,15,23.8,26
129,서산(농),2021-07-07,93,19,24.3,25.7
129,서산(농),2021-07-08,87,17,24.4,27.6
129,서산(농),2021-07-09,82,17,24.9,29.6
129,서산(농),2021-07-10,90,14,25.2,27.3
129,서산(농),2021-07-11,95,16,24.8,26.3
129,서산(농),2021-07-12,87,15,27,29.6
129,서산(농),2021-07-13,80,13,27.6,30.2
129,서산(농),2021-07-14,78,12,28.3,31.4
129,서산(농),2021-07-15,76,10,28,33.4
129,서산(농),2021-07-16,79,8,27.1,29.2
129,서산(농),2021-07-17,82,13,26.1,31.1
129,서산(농),2021-07-18,79,14,26.3,31.5
129,서산(농),2021-07-19,81,10,26.3,28.6
129,서산(농),2021-07-20,77,11,28,30.6
129,서산(농),2021-07-21,70,8,29.1,33.5
129,서산(농),2021-07-22,65,6,28.8,33.5
129,서산(농),2021-07-23,66,5,28.9,35.4
129,서산(농),2021-07-24,65,4,29.3,34.5
129,서산(농),2021-07-25,64,4,29.2,33.9
129,서산(농),2021-07-26,65,3,28.8,33.9
129,서산(농),2021-07-27,65,3,28.8,35.7
129,서산(농),2021-07-28,74,3,28.2,33
129,서산(농),2021-07-29,76,3,27.7,33.8
129,서산(농),2021-07-30,76,3,28.1,34.2
129,서산(농),2021-07-31,78,5,28.3,34.8
129,서산(농),2021-08-01,93,9,25.4,26.9
129,서산(농),2021-08-02,88,12,25.5,27.6
129,서산(농),2021-08-03,81,10,27.1,30.8
129,서산(농),2021-08-04,74,8,28.2,33.3
129,서산(농),2021-08-05,70,6,29.2,34.9
129,서산(농),2021-08-06,75,4,26.8,31.2
129,서산(농),2021-08-07,78,4,25.5,30.6
129,서산(농),2021-08-08,79,3,26.9,31.1
129,서산(농),2021-08-09,70,3,27.6,34.4
129,서산(농),2021-08-10,76,3,27.1,34.8
129,서산(농),2021-08-11,77,3,26.9,34
129,서산(농),2021-08-12,78,3,26.7,30
129,서산(농),2021-08-14,69,3,26.2,30.4
129,서산(농),2021-08-15,60,3,26.3,33.9
129,서산(농),2021-08-16,65,3,26.5,32.6
129,서산(농),2021-08-17,64,3,25.6,30.4
129,서산(농),2021-08-18,72,3,24.1,29.6
129,서산(농),2021-08-19,71,,24.3,28.6
129,서산(농),2021-08-20,77,,25.1,30.8
129,서산(농),2021-08-21,82,,24.5,24.8
129,서산(농),2021-08-22,85,,24.3,27.3
129,서산(농),2021-08-23,96,,21.9,22.7
129,서산(농),2021-08-24,92,,24.4,25.4
129,서산(농),2021-08-25,94,,23.5,26.6
129,서산(농),2021-08-26,94,,24.7,25.4
129,서산(농),2021-08-27,96,,21.1,22.6
129,서산(농),2021-08-28,88,,22.5,25.6
129,서산(농),2021-08-29,87,,21.8,24.3
129,서산(농),2021-08-30,90,,22.9,25.2
129,서산(농),2021-08-31,93,,22.5,23.8
129,서산(농),2021-09-01,96,,21.5,23.4
129,서산(농),2021-09-02,83,,23.2,25.5
129,서산(농),2021-09-03,77,,23.5,28.3
129,서산(농),2021-09-04,69,4,22.6,25.5
129,서산(농),2021-09-05,78,4,21.4,22.8
129,서산(농),2021-09-06,83,4,20.4,21.9
129,서산(농),2021-09-07,92,7,21.3,22.4
129,서산(농),2021-09-08,82,6,22,27.2
129,서산(농),2021-09-09,88,5,21.7,26.1
129,서산(농),2021-09-10,86,5,22.7,27.1
129,서산(농),2021-09-11,86,5,23.3,28.9
129,서산(농),2021-09-12,78,4,23.5,27.7
129,서산(농),2021-09-13,72,4,24.2,26.5
129,서산(농),2021-09-14,62,4,22.7,24.5
129,서산(농),2021-09-15,58,3,23.6,26.2
129,서산(농),2021-09-16,63,3,22.4,24.9
129,서산(농),2021-09-17,80,4,21.1,23.5
129,서산(농),2021-09-18,69,3,22.3,26.8
129,서산(농),2021-09-19,85,3,22.2,24.2
129,서산(농),2021-09-20,71,2,23.3,27.6
129,서산(농),2021-09-21,87,6,22.8,25
129,서산(농),2021-09-22,81,7,21.3,24
129,서산(농),2021-09-23,74,6,19.9,23.7
129,서산(농),2021-09-24,74,5,20.1,23.4
129,서산(농),2021-09-25,75,5,20.4,21.2
129,서산(농),2021-09-26,70,5,21.3,22.9
129,서산(농),2021-09-27,75,5,21.3,23.3
129,서산(농),2021-09-28,90,5,20.5,22.8
129,서산(농),2021-09-29,94,7,20.9,22.4
129,서산(농),2021-09-30,85,6,19.9,23.7
129,서산(농),2021-10-01,89,5,20.1,23.8
129,서산(농),2021-10-02,85,7,19.9,24.1
129,서산(농),2021-10-03,79,6,21.2,23.8
129,서산(농),2021-10-04,82,5,23.3,23
129,서산(농),2021-10-05,86,5,23.2,25.6
129,서산(농),2021-10-06,86,5,22.9,26.4
129,서산(농),2021-10-07,89,6,20.3,22.9
129,서산(농),2021-10-08,91,6,19.4,20.9
129,서산(농),2021-10-09,85,6,22.4,24.2
129,서산(농),2021-10-10,89,5,20.4,22.8
129,서산(농),2021-10-11,69,6,16.2,19.6
129,서산(농),2021-10-12,76,6,17,17.5
129,서산(농),2021-10-13,74,5,18.8,20.1
129,서산(농),2021-10-14,85,5,18.7,22.2
129,서산(농),2021-10-15,88,5,17.8,19.6
129,서산(농),2021-10-16,51,5,12,14.5
129,서산(농),2021-10-17,52,4,6.2,11.8
129,서산(농),2021-10-18,67,4,9.6,13.4
129,서산(농),2021-10-19,79,6,11.5,13.9
129,서산(농),2021-10-20,75,6,8.4,13.4
129,서산(농),2021-10-21,76,5,8.6,12.8
129,서산(농),2021-10-22,71,6,9.2,12.7
129,서산(농),2021-10-23,73,5,9.8,13
129,서산(농),2021-10-24,81,5,10.4,13.4
129,서산(농),2021-10-25,79,5,10.9,13.5
129,서산(농),2021-10-26,85,5,11.9,13.9
129,서산(농),2021-10-27,73,5,11.8,14.4
129,서산(농),2021-10-28,71,5,10.9,12.9
129,서산(농),2021-10-29,65,5,13.4,15
129,서산(농),2021-10-30,78,4,12.9,15.1
258,보성군(농),2021-07-28,79,17,27.5,31.1
258,보성군(농),2021-07-29,81,29,27.2,31.4
258,보성군(농),2021-07-30,84,27,26.9,30.2
258,보성군(농),2021-07-31,88,34,28.5,31
258,보성군(농),2021-08-01,82,32,28.9,31.8
258,보성군(농),2021-08-02,84,31,28.4,30.9
258,보성군(농),2021-08-03,87,41,27.4,29.5
258,보성군(농),2021-08-04,84,40,27.8,31.1
258,보성군(농),2021-08-05,80,38,28.9,32.1
258,보성군(농),2021-08-06,79,36,28.8,31.5
258,보성군(농),2021-08-07,79,35,28.8,31.5
258,보성군(농),2021-08-08,85,34,27,28.9
258,보성군(농),2021-08-09,77,35,28,30.2
258,보성군(농),2021-08-10,83,34,27.5,31.2
258,보성군(농),2021-08-11,85,33,26.2,29.6
258,보성군(농),2021-08-12,83,33,26.2,28.6
258,보성군(농),2021-08-14,87,41,23.6,25.9
258,보성군(농),2021-08-15,77,35,25.4,27.6
258,보성군(농),2021-08-16,77,33,25.3,27
258,보성군(농),2021-08-17,79,33,25.1,27.8
258,보성군(농),2021-08-18,80,38,24.7,27.6
258,보성군(농),2021-08-19,83,34,24.1,28.5
258,보성군(농),2021-08-20,83,33,25.4,27.5
258,보성군(농),2021-08-21,96,43,24.1,24.6
258,보성군(농),2021-08-22,85,39,25.8,27.6
258,보성군(농),2021-08-23,97,39,24.9,26.4
258,보성군(농),2021-08-24,91,39,26.5,27
258,보성군(농),2021-08-25,97,41,25.3,26.4
258,보성군(농),2021-08-26,83,42,26,28.3
258,보성군(농),2021-08-27,89,42,25.7,27.2
258,보성군(농),2021-08-28,86,42,25.6,27.5
258,보성군(농),2021-08-29,90,43,26.4,28.2
258,보성군(농),2021-08-30,86,42,26.8,28.9
258,보성군(농),2021-08-31,88,43,26.5,29.4
258,보성군(농),2021-09-01,90,43,25.8,27.1
258,보성군(농),2021-09-02,93,46,22.5,24.6
258,보성군(농),2021-09-03,87,43,22.5,24.4
258,보성군(농),2021-09-04,83,43,23.4,25.7
258,보성군(농),2021-09-05,82,44,22.3,23.6
258,보성군(농),2021-09-06,83,44,22,22.6
258,보성군(농),2021-09-07,91,46,22.1,23
258,보성군(농),2021-09-08,79,45,23.2,24.3
258,보성군(농),2021-09-09,87,46,22.6,25.2
258,보성군(농),2021-09-10,94,48,22,24
258,보성군(농),2021-09-11,86,47,23.6,26.8
258,보성군(농),2021-09-12,86,45,23.6,26.3
258,보성군(농),2021-09-13,75,44,23.6,22.9
258,보성군(농),2021-09-14,83,51,22.5,22.2
258,보성군(농),2021-09-15,69,50,23.3,22.1
258,보성군(농),2021-09-16,78,47,21.7,20.9
258,보성군(농),2021-09-17,79,51,24.4,24.9
258,보성군(농),2021-09-18,81,50,22.9,25.1
258,보성군(농),2021-09-19,81,50,22.2,24.8
258,보성군(농),2021-09-20,81,50,23.2,23.8
